Feature Name,Alpha = 75.000000,Alpha = 100.000000,Alpha = 200.000000,Alpha = 300.000000
LotFrontage,1683.5925166473564,1743.7147938685057,1635.7825820357423,1561.127187697138
LotArea,1857.2150160442973,1758.1866532708232,1677.816712548815,1736.1023728244295
MasVnrArea,2570.666792107702,2701.8883254696093,3140.1478574356634,3668.4148290005214
BsmtFinSF1,12155.839388114262,12111.299728768936,11930.308406529064,11926.870950230024
BsmtFinSF2,1374.846498998971,1070.3674226599894,693.4017035341227,494.1269216856398
BsmtUnfSF,-0.0,-0.0,-0.0,-0.0
TotalBsmtSF,9979.598928821038,9780.36271081292,10696.50777620431,11494.145804619251
1stFlrSF,28.949917167751256,605.3452331471478,147.82926912506213,0.0
2ndFlrSF,0.0,0.0,0.0,0.0
LowQualFinSF,-2238.078097881249,-2212.1583532760533,-2352.334130792906,-2566.853044251609
GrLivArea,35013.1206087389,35109.05703539228,36455.456463006914,37177.25708790741
GarageArea,5425.43424820993,5333.285141975526,5942.538092378306,6610.9215415730205
WoodDeckSF,1715.0206567519263,1734.806436028384,1972.64401881882,1965.0553242616836
OpenPorchSF,839.9631729463914,798.7297448879318,773.2039209124159,714.6535904221909
EnclosedPorch,-407.2925078033845,-459.2469329811566,-574.1309581783981,-666.6535162016033
3SsnPorch,1030.9649805763945,950.7360301403638,800.7660860750691,641.6054217648308
ScreenPorch,1620.1730820557175,1648.7053412907567,1621.2679282539073,1474.0705342643005
PoolArea,2585.8805413513737,2506.893273615073,2249.929742455614,2159.271577392814
MiscVal,-0.0,0.0,0.0,0.0
MSSubClass_120,0.0,0.0,0.0,0.0
MSSubClass_160,-0.0,-0.0,-0.0,-0.0
MSSubClass_180,-0.0,-0.0,-0.0,-0.0
MSSubClass_190,-0.0,-0.0,-0.0,-0.0
MSSubClass_20,4173.267442869566,3649.94902482902,3035.3826319883415,2023.4381981290385
MSSubClass_30,-0.0,-0.0,-0.0,-0.0
MSSubClass_40,0.0,0.0,0.0,0.0
MSSubClass_45,0.0,0.0,0.0,0.0
MSSubClass_50,-0.0,-0.0,-0.0,-0.0
MSSubClass_60,6403.659806631955,5180.655013455019,3349.163557672428,2111.299384118466
MSSubClass_70,0.0,-0.0,0.0,0.0
MSSubClass_75,-0.0,-0.0,-0.0,-0.0
MSSubClass_80,930.6329133324745,0.0,0.0,0.0
MSSubClass_85,-0.0,-0.0,-0.0,-0.0
MSSubClass_90,-0.0,-0.0,-0.0,-0.0
MSZoning_C (all),-24763.916272011367,-21570.70694056009,-5903.859249206112,-0.0
MSZoning_FV,0.0,0.0,0.0,0.0
MSZoning_RH,0.0,0.0,0.0,-0.0
MSZoning_RL,0.0,0.0,1204.4193200348213,125.07551894783302
MSZoning_RM,-5101.943934430881,-5147.840566687644,-2623.035386697941,-3025.8055932576613
Street_Grvl,-4167.0692817543595,-0.0,-0.0,-0.0
Street_Pave,2.8250037865572453e-10,0.0,0.0,0.0
Alley_Grvl,-0.0,-0.0,-0.0,-0.0
Alley_None,0.0,0.0,0.0,0.0
Alley_Pave,0.0,0.0,0.0,0.0
LotShape_IR1,-0.0,-0.0,0.0,0.0
LotShape_IR2,1984.526582934858,1316.8133413730134,0.0,0.0
LotShape_IR3,0.0,0.0,0.0,0.0
LotShape_Reg,-0.0,-157.02557283081214,-822.3928731181361,-1243.7455881632413
LandContour_Bnk,-0.0,-0.0,-0.0,-0.0
LandContour_HLS,0.0,0.0,0.0,0.0
LandContour_Low,-776.0204212296909,-0.0,-0.0,-0.0
LandContour_Lvl,358.445630359104,493.206542944631,0.0,0.0
LotConfig_Corner,254.67372582257238,67.65091987030311,0.0,0.0
LotConfig_CulDSac,8564.163172519118,8053.552120226627,6228.8921605139085,5030.349527149333
LotConfig_FR2,-1579.7384528145428,-430.1821855530757,-0.0,-0.0
LotConfig_FR3,-0.0,-0.0,-0.0,-0.0
LotConfig_Inside,-0.0,-0.0,-0.0,-0.0
LandSlope_Gtl,0.0,0.0,0.0,0.0
LandSlope_Mod,0.0,0.0,0.0,0.0
LandSlope_Sev,-12636.329069468138,-8871.06996385167,-0.0,-0.0
Neighborhood_Blmngtn,0.0,0.0,0.0,0.0
Neighborhood_Blueste,0.0,0.0,0.0,0.0
Neighborhood_BrDale,0.0,0.0,0.0,0.0
